title,Price,Processor,RAM,Operating System,Display,Storage,Office,warrenty
SAMSUNG Galaxy Book4 Intel Core 5 120U - (8 GB/SSD/512 GB SSD/windows 11 home) NP750XGK-KS1IN / NP750X...,"₹73,990",intel core 5 processor,8 gb lpddr4x ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
HP 2023 Intel Core i3 12th Gen 1215U - (8 GB/SSD/512 GB SSD/windows 11 home) 15s-fy5003TU Thin and Lig...,"₹37,990",intel core i3 processor (12th gen),8 gb ddr4 ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Onsite Warranty
Apple 2020 Macbook Air Apple M1 - (8 GB/SSD/256 GB SSD/Mac OS Big Sur) MGN63HN/A,"₹68,990",apple m1 processor,8 gb ddr4 ram,mac os operating system,33.78 cm (13.3 inch) display,256 gb ssd,no-office,1 Year Limited Warra­nty
HP 255 G9 AMD Ryzen 3 Dual Core R3 3250 - (8 GB/SSD/512 GB SSD/windows 11 home) 255 G8 Business Laptop,"₹25,880",amd ryzen 3 dual core processor,8 gb ddr4 ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Onsite warranty by OEM
Acer Swift Go 14 EVO OLED Intel Core i5 13th Gen 13500H - (16 GB/SSD/512 GB SSD/windows 11 home) SFG14...,"₹65,990",intel core i5 processor (13th gen),16 gb lpddr5 ram,windows 11 operating system,35.56 cm (14 inch) display,512 gb ssd,no-office,1 Year Onsite Warranty
DELL Inspiron 3520 Intel Core i3 12th Gen 1215U - (8 GB/SSD/512 GB SSD/windows 11 home) New Inspiron 1...,"₹36,990",intel core i3 processor (12th gen),8 gb ddr4 ram,64 bit windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Onsite Hardware Service
HP AMD Ryzen 3 Quad Core 5300U - (8 GB/SSD/512 GB SSD/windows 11 home) 15s-eq2143au Thin and Light Lap...,"₹32,490",amd ryzen 3 quad core processor,8 gb ddr4 ram,windows 11 home,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Onsite Warranty
SAMSUNG Galaxy Book4 Intel Core 5 120U - (8 GB/SSD/512 GB SSD/windows 11 home) NP750XGK-KG1IN / NP750X...,"₹73,990",intel core 5 processor,8 gb lpddr4x ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/SSD/512 GB SSD/windows 11 home) AO 14 Z 8-415 Thin and ...,"₹28,990",intel core i3 processor (11th gen),8 gb ddr4 ram,64 bit windows 11 operating system,35.56 cm (14 inch) display,512 gb ssd,no-office,1 Year Warranty
DELL Inspiron 15 3520 Intel Core i5 12th Gen Core i5 - (16 GB/SSD/512 GB SSD/windows 11 home) Inspiron...,"₹52,800",intel core i5 processor (12th gen),16 gb ddr4 ram,windows 11 home,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Onsite Warranty
SAMSUNG Galaxy Book4 Intel Core 5 120U - (16 GB/SSD/512 GB SSD/windows 11 home) NP750XGK-KS2IN / NP750...,"₹78,990",intel core 5 processor,16 gb lpddr4x ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
SAMSUNG Galaxy Book4 Pro Evo Intel Core Ultra 7 155H - (32 GB/SSD/1 TB SSD/windows 11 home) NP960XGK-K...,"₹1,76,990",intel core ultra 7 processor,32 gb lpddr5x ram,64 bit windows 11 operating system,40.64 cm (16 inch) touchscreen display,1 tb ssd,ms office home and student 2021,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
Acer Aspire Lite AMD Ryzen 5 Hexa Core 5500U - (16 GB/SSD/1 TB SSD/windows 11 home) AL15-41 Thin and L...,"₹40,290",amd ryzen 5 hexa core processor,16 gb ddr4 ram,windows 11 operating system,39.62 cm (15.6 inch) display,1 tb ssd,no-office,1 Year Onsite Warranty
Apple 2022 MacBook AIR Apple M2 - (8 GB/SSD/256 GB SSD/Mac OS Monterey) MLY33HN/A,"₹89,990",apple m2 processor,8 gb unified memory ram,mac os operating system,34.54 cm (13.6 inch) display,256 gb ssd,no-office,1 Year Limited Warranty
